start;end;regione;comune
35823616;35823871;Piemonte;Torino
35823872;35824127;Emilia-Romagna;Modena
35824128;35824383;Lombardia;Milan
35824384;35825151;Emilia-Romagna;Bologna
35825152;35825407;Piemonte;Ivrea
35825408;35825663;Emilia-Romagna;Bologna
35825664;35825919;Veneto;Padova
35825920;35826175;Emilia-Romagna;Codigoro
35826176;35826431;Lazio;Rome
35826432;35826687;Emilia-Romagna;Ravenna
35826688;35826943;Toscana;Florence
35826944;35827199;Lombardia;Bergamo
35827200;35827455;Veneto;Padova
35827456;35827711;Piemonte;Ivrea
35827712;35827967;Veneto;Padova
35827968;35828223;Emilia-Romagna;Modena
35828224;35828479;Emilia-Romagna;Bologna
35828480;35828735;Trentino-Alto Adige;Trento
35828736;35828991;Veneto;Padova
35828992;35829247;Lombardia;Pavia
35829248;35829503;Trentino-Alto Adige;Bronzolo
35829504;35829759;Friuli-Venezia Giulia;Pordenone
35829760;35830015;Piemonte;Biella
35830016;35830271;Veneto;Isola Vicentina
35830272;35830527;Emilia-Romagna;Modena
35830528;35830783;Emilia-Romagna;Bologna
35830784;35831039;Piemonte;Ivrea
35831040;35831295;Trentino-Alto Adige;Arco
35831296;35831551;Emilia-Romagna;Bologna
35831552;35831807;Emilia-Romagna;Modena
35831808;35832063;Veneto;Venice
35832064;35832319;Emilia-Romagna;Parma
35832320;35832575;Emilia-Romagna;Bologna
35832576;35832831;Emilia-Romagna;Modena
35832832;35833087;Lombardia;Bergamo
35833088;35833343;Veneto;Padova
35833344;35833599;Veneto;Verona
35833600;35833855;Umbria;Marsciano
35833856;35834111;Piemonte;Torino
35834112;35834367;Veneto;Mel
35834368;35834623;Emilia-Romagna;Bologna
35834624;35834879;Trentino-Alto Adige;Revo
35834880;35835135;Lombardia;Milan
35835136;35835391;Trentino-Alto Adige;Arco
35835392;35835647;Veneto;Venice
35835648;35835903;Emilia-Romagna;Ravenna
35835904;35836159;Campania;Benevento
35836160;35836415;Emilia-Romagna;Modena
35836416;35836671;Emilia-Romagna;Parma
35836672;35836927;Lombardia;Brescia
35836928;35837183;Friuli-Venezia Giulia;Latisana
35837184;35837439;Lombardia;Codogno
35837440;35837695;Lombardia;Limbiate
