start;end;regione;comune
1328731136;1328731647;Lombardia;Milan
1328731648;1328732159;Piemonte;Torino
1328732160;1328732415;Lombardia;Limbiate
1328732416;1328732927;Piemonte;Torino
1328732928;1328733183;Sicilia;Catania
1328733184;1328733439;Sicilia;Messina
1328733440;1328733695;Veneto;Padova
1328733696;1328733951;Lombardia;Milan
1328733952;1328734207;Marche;Cagli
1328734208;1328734463;Marche;Senigallia
1328734464;1328734719;Marche;Ancona
1328734720;1328734975;Marche;Chiaravalle
1328734976;1328735231;Marche;Ancona
1328735232;1328735487;Marche;Ascoli Piceno
1328735488;1328735743;Toscana;Pisa
1328735744;1328735999;Lombardia;Milan
1328736000;1328736255;Marche;Montegiorgio
1328736256;1328736767;Friuli-Venezia Giulia;Trieste
1328736768;1328737023;Friuli-Venezia Giulia;San Giorgio di Nogaro
1328737024;1328737279;Friuli-Venezia Giulia;Monfalcone
1328737280;1328737535;Friuli-Venezia Giulia;San Giorgio di Nogaro
1328737536;1328737791;Friuli-Venezia Giulia;Grado
1328737792;1328738047;Friuli-Venezia Giulia;San Vito al Tagliamento
1328738048;1328738303;Veneto;Venice
1328738304;1328738559;Lombardia;Pregnana Milanese
1328738560;1328738815;Lombardia;Milan
1328738816;1328739071;Veneto;Padova
1328739072;1328739327;Veneto;Venice
1328739328;1328739583;Veneto;Verona
1328739584;1328739839;Veneto;Venice
1328739840;1328740095;Veneto;Santa Giustina
1328740096;1328740351;Veneto;Padova
1328740352;1328740607;Veneto;Verona
1328740608;1328740863;Sicilia;Siracusa
1328740864;1328741119;Sicilia;Catania
1328741120;1328741375;Emilia-Romagna;Cesena
1328741376;1328741631;Emilia-Romagna;San Mauro Pascoli
1328741632;1328741887;Emilia-Romagna;Alfonsine
1328741888;1328742143;Calabria;Rende
1328742144;1328742399;Marche;Ancona
1328742400;1328742911;Veneto;Verona
1328742912;1328743167;Toscana;Pisa
1328743168;1328743423;Piemonte;Quattordio
1328743424;1328743679;Piemonte;Galliate
1328743680;1328743935;Lombardia;Cagnola
1328743936;1328744191;Lombardia;Milan
1328744192;1328744447;Veneto;Venice
1328744448;1328744703;Veneto;Padova
1328744704;1328744959;Veneto;Venice
1328744960;1328745215;Campania;Naples
1328745216;1328745727;Toscana;Pisa
1328745728;1328745983;Lazio;Orte
1328745984;1328746239;Emilia-Romagna;Civitella di Romagna
1328746240;1328746495;Umbria;Ficulle
1328746496;1328747007;Toscana;Florence
1328747008;1328747263;Toscana;Pisa
1328747264;1328747519;Toscana;Siena
1328747520;1328747775;Lombardia;Novedrate
1328747776;1328748031;Sardegna;Cagliari
1328748032;1328748287;Calabria;Davoli
1328748288;1328748799;Emilia-Romagna;Bologna
1328748800;1328749055;Lazio;Rome
1328749056;1328749311;Toscana;Pisa
1328749312;1328749567;Lazio;Rome
1328749568;1328749823;Lazio;Frosinone
1328749824;1328750079;Lazio;Orte
1328750080;1328750335;Lazio;Ripa
1328750336;1328750591;Campania;Nola
1328750592;1328750847;Lazio;Rome
1328750848;1328751103;Campania;Naples
1328751104;1328751359;Lombardia;Corbetta
1328751360;1328751871;Campania;Naples
1328751872;1328752127;Campania;Castellabate
1328752128;1328752383;Campania;Naples
1328752384;1328752639;Veneto;Padova
1328752640;1328753151;Campania;Naples
1328753152;1328753407;Campania;Camerota
1328753408;1328753663;Campania;Castellabate
1328753664;1328754175;Campania;Naples
1328754176;1328754431;Campania;Salento
1328754432;1328754687;Veneto;Verona
1328754688;1328755455;Veneto;Padova
1328755456;1328755711;Calabria;Crotone
1328755712;1328755967;Calabria;Palmi
1328755968;1328756223;Lombardia;Milan
1328756224;1328756479;Calabria;Luzzi
1328756480;1328756735;Campania;Nola
1328756736;1328757759;Toscana;Florence
1328757760;1328758015;Toscana;Monticelli
1328758016;1328758271;Toscana;Pisa
1328758272;1328758527;Lombardia;Milan
1328758528;1328758783;Toscana;Florence
1328758784;1328759039;Piemonte;Torino
1328759040;1328759295;Piemonte;Galliate
1328759296;1328759551;Piemonte;Pozzolo Formigaro
1328759552;1328759807;Piemonte;Galliate
1328759808;1328760063;Piemonte;Alice Castello
1328760064;1328760319;Piemonte;Torino
1328760320;1328760575;Piemonte;Galliate
1328760576;1328760831;Piemonte;Biella
1328760832;1328761087;Liguria;Savona
1328761088;1328761343;Marche;Senigallia
1328761344;1328761599;Piemonte;Asti
1328761600;1328762111;Lombardia;Milan
1328762112;1328762367;Toscana;Florence
1328762368;1328762623;Lombardia;Bergamo
1328762624;1328762879;Lombardia;Milan
1328762880;1328763135;Lombardia;Mese
1328763136;1328763391;Campania;Nola
1328763392;1328763647;Lombardia;Milan
1328763648;1328763903;Lombardia;Corbetta
1328763904;1328764159;Lombardia;Limbiate
1328764160;1328764415;Lombardia;Milan
1328764416;1328764671;Trentino-Alto Adige;Bolzano
1328764672;1328764927;Piemonte;Galliate
1328764928;1328765183;Lombardia;Brescia
1328765184;1328765951;Toscana;Pisa
1328765952;1328766463;Lombardia;Bergamo
1328766464;1328766719;Lombardia;Milan
1328766720;1328766975;Friuli-Venezia Giulia;Talmassons
1328766976;1328767231;Lombardia;Brescia
1328767232;1328767487;Lombardia;Livigno
1328767488;1328767743;Lombardia;Bergamo
1328767744;1328767999;Lombardia;Brescia
1328768000;1328768255;Lombardia;Quingentole
1328768256;1328768511;Veneto;Venice
1328768512;1328769023;Lombardia;Bergamo
1328769024;1328769279;Veneto;Motta di Livenza
1328769280;1328769535;Lombardia;Milan
1328769536;1328769791;Campania;Naples
1328769792;1328770047;Trentino-Alto Adige;Trento
1328770048;1328770303;Trentino-Alto Adige;Schnals
1328770304;1328770559;Trentino-Alto Adige;Arco
1328770560;1328770815;Emilia-Romagna;Rimini
1328770816;1328771071;Piemonte;Galliate
1328771072;1328771327;Lazio;Cassino
1328771328;1328771583;Puglia;Torremaggiore
1328771584;1328771839;Puglia;San Severo
1328771840;1328772095;Puglia;Foggia
1328772096;1328772351;Puglia;Torremaggiore
1328772352;1328772607;Puglia;Melissano
1328772608;1328772863;Lazio;Rome
1328772864;1328773119;Sicilia;San Cataldo
1328773120;1328773375;Piemonte;Galliate
1328773376;1328773631;Marche;Pesaro
1328773632;1328773887;Liguria;Genova
1328773888;1328774143;Liguria;Sestri Levante
1328774144;1328774399;Liguria;Genova
1328774400;1328774655;Liguria;Doria
1328774656;1328774911;Lombardia;Milan
1328774912;1328775167;Toscana;Campagnatico
1328775168;1328775423;Toscana;Cireglio
1328775424;1328775679;Toscana;Pisa
1328775680;1328775935;Lombardia;Milan
1328775936;1328776191;Lombardia;Limbiate
1328776192;1328776959;Lombardia;Milan
1328776960;1328777215;Lombardia;Varese
1328777216;1328777471;Lombardia;Milan
1328777472;1328777727;Lombardia;Limbiate
1328777728;1328778239;Lombardia;Milan
1328778240;1328778495;Piemonte;Sant'Albano Stura
1328778496;1328779519;Lombardia;Milan
1328779520;1328779775;Lombardia;Limbiate
1328779776;1328780031;Lombardia;Gallarate
1328780032;1328781055;Lombardia;Milan
1328781056;1328781311;Lombardia;Varese
1328781312;1328783871;Lombardia;Milan
1328783872;1328784127;Lombardia;Varzi
1328784128;1328784895;Lombardia;Milan
1328784896;1328785151;Lombardia;Voghera
1328785152;1328785407;Emilia-Romagna;Piacenza
1328785408;1328785663;Lombardia;Milan
1328785664;1328785919;Sicilia;Palermo
1328785920;1328786687;Piemonte;Torino
1328786688;1328786943;Veneto;Padova
1328786944;1328787199;Sicilia;Palermo
1328787200;1328787455;Friuli-Venezia Giulia;San Giorgio di Nogaro
1328787456;1328787711;Friuli-Venezia Giulia;Trieste
1328787712;1328788479;Emilia-Romagna;Modena
1328788480;1328788991;Veneto;Padova
1328788992;1328789247;Veneto;Castelnovo Bariano
1328789248;1328789503;Veneto;Vicenza
1328789504;1328789759;Emilia-Romagna;Parma
1328789760;1328790015;Lombardia;Brescia
1328790016;1328790271;Toscana;Pisa
1328790272;1328790527;Toscana;Carrara
1328790528;1328790783;Veneto;Venice
1328790784;1328791039;Friuli-Venezia Giulia;Porpetto
1328791040;1328791295;Friuli-Venezia Giulia;Trieste
1328791296;1328791551;Friuli-Venezia Giulia;Pordenone
1328791552;1328791807;Liguria;San Remo
1328791808;1328792063;Liguria;Borghetto Santo Spirito
1328792064;1328792319;Lombardia;Milan
1328792320;1328792575;Toscana;Pisa
1328792576;1328792831;Toscana;Castagneto Carducci
1328792832;1328793087;Toscana;Pisa
1328793088;1328793343;Sicilia;Palermo
1328793344;1328793599;Campania;Naples
1328793600;1328793855;Toscana;Cireglio
1328793856;1328794111;Campania;Naples
1328794112;1328794367;Veneto;Verona
1328794368;1328794623;Veneto;Venice
1328794624;1328794879;Calabria;Catanzaro
1328794880;1328795135;Campania;Naples
1328795136;1328795391;Campania;Teggiano
1328795392;1328795647;Campania;Naples
1328795648;1328795903;Piemonte;Torino
1328795904;1328796415;Emilia-Romagna;Modena
1328796416;1328796671;Sicilia;Palermo
1328796672;1328796927;Piemonte;Torino
1328796928;1328797183;Piemonte;Bibiana
1328797184;1328797439;Lombardia;Bergamo
1328797440;1328797695;Campania;Mondragone
1328797696;1328798207;Campania;Naples
1328798208;1328798463;Lazio;Cassino
1328798464;1328798719;Sicilia;Siracusa
1328798720;1328798975;Campania;Naples
1328798976;1328799231;Veneto;Padova
1328799232;1328799487;Sicilia;Palermo
1328799488;1328799743;Campania;Naples
1328799744;1328799999;Lombardia;Milan
1328800000;1328800511;Sicilia;Messina
1328800512;1328801023;Lazio;Rome
1328801024;1328801279;Campania;Laurino
1328801280;1328801535;Campania;Naples
1328801536;1328801791;Lazio;Oriolo Romano
1328801792;1328802047;Veneto;Venice
1328802048;1328802303;Friuli-Venezia Giulia;Trieste
1328802304;1328802559;Toscana;Gavorrano
1328802560;1328802815;Toscana;Pisa
1328802816;1328803071;Friuli-Venezia Giulia;Monfalcone
1328803072;1328803327;Friuli-Venezia Giulia;Trieste
1328803328;1328803583;Friuli-Venezia Giulia;Monfalcone
1328803584;1328803839;Friuli-Venezia Giulia;San Leonardo
1328803840;1328804607;Lombardia;Milan
1328804608;1328804863;Lombardia;Pregnana Milanese
1328804864;1328805119;Lombardia;Mortara
1328805120;1328805375;Veneto;Venice
1328805376;1328805631;Veneto;Portogruaro
1328805632;1328805887;Veneto;Padova
1328805888;1328806143;Lombardia;Brescia
1328806144;1328806399;Veneto;Padova
1328806400;1328806655;Veneto;San Vendemiano
1328806656;1328806911;Veneto;Padova
1328806912;1328807423;Veneto;Venice
1328807424;1328807679;Emilia-Romagna;Rimini
1328807680;1328807935;Calabria;Sinopoli
1328807936;1328808191;Lombardia;Milan
1328808192;1328808447;Abruzzo;Vasto
1328808448;1328808703;Lazio;Pratica di Mare
1328808704;1328808959;Lazio;Anzio
1328808960;1328809215;Campania;Naples
1328809216;1328809471;Campania;Salerno
1328809472;1328809727;Campania;Naples
1328809728;1328809983;Campania;San Salvatore Telesino
1328809984;1328810239;Campania;Naples
1328810240;1328810495;Lombardia;Pregnana Milanese
1328810496;1328810751;Campania;Naples
1328810752;1328811263;Umbria;Perugia
1328811264;1328811519;Lombardia;Milan
1328811520;1328811775;Sicilia;Palermo
1328811776;1328812031;Veneto;Santa Giustina
1328812032;1328812287;Lombardia;Milan
1328812288;1328812543;Campania;Battipaglia
1328812544;1328812799;Campania;Mondragone
1328812800;1328813055;Campania;Naples
1328813056;1328813311;Campania;Sessa Aurunca
1328813312;1328813567;Lazio;Rome
1328813568;1328813823;Piemonte;Galliate
1328813824;1328814079;Puglia;San Ferdinando di Puglia
1328814080;1328814335;Puglia;Monopoli
1328814336;1328814591;Calabria;San Marco Argentano
1328814592;1328814847;Sicilia;Noto
1328814848;1328815103;Piemonte;Galliate
1328815104;1328815359;Sicilia;Catania
1328815360;1328815615;Sicilia;Noto
1328815616;1328815871;Puglia;Bari
1328815872;1328816127;Puglia;San Ferdinando di Puglia
1328816128;1328816383;Puglia;Bari
1328816384;1328816639;Lombardia;Milan
1328816640;1328816895;Puglia;Bari
1328816896;1328817151;Puglia;San Paolo di Civitate
1328817152;1328817407;Puglia;Bari
1328817408;1328817663;Abruzzo;Pescara
1328817664;1328817919;Emilia-Romagna;Modena
1328817920;1328818431;Emilia-Romagna;Parma
1328818432;1328818687;Emilia-Romagna;Modena
1328818688;1328818943;Emilia-Romagna;Parma
1328818944;1328819199;Emilia-Romagna;Fiorenzuola d'Arda
1328819200;1328819967;Emilia-Romagna;Parma
1328819968;1328820223;Emilia-Romagna;Modena
1328820224;1328820479;Emilia-Romagna;Bologna
1328820480;1328820735;Emilia-Romagna;Ostellato
1328820736;1328820991;Emilia-Romagna;Ferrara
1328820992;1328821247;Emilia-Romagna;Ostellato
1328821248;1328822783;Lombardia;Milan
1328822784;1328823551;Campania;Naples
1328823552;1328823807;Emilia-Romagna;Bologna
1328823808;1328824063;Liguria;Genova
1328824064;1328824319;Emilia-Romagna;Bologna
1328824320;1328824575;Marche;Pesaro
1328824576;1328824831;Marche;Civitanova Marche
1328824832;1328825087;Marche;Ancona
1328825088;1328825343;Marche;Cagli
1328825344;1328825599;Marche;Colbordolo
1328825600;1328825855;Lombardia;Bergamo
1328825856;1328826111;Marche;Ancona
1328826112;1328826367;Marche;Macerata
1328826368;1328827135;Abruzzo;Pescara
1328827136;1328827391;Emilia-Romagna;Forli
1328827392;1328827647;Lombardia;Milan
1328827648;1328827903;Puglia;Minervino Murge
1328827904;1328828159;Puglia;San Ferdinando di Puglia
1328828160;1328828415;Puglia;Bari
1328828416;1328828671;Sardegna;Tempio Pausania
1328828672;1328828927;Sardegna;Nuoro
1328828928;1328829183;Sardegna;Cagliari
1328829184;1328829439;Sardegna;Oristano
1328829440;1328829951;Sardegna;Cagliari
1328829952;1328830207;Sicilia;Catania
1328830208;1328830463;Lombardia;Milan
1328830464;1328830719;Sicilia;Catania
1328830720;1328830975;Sicilia;Ragusa
1328830976;1328831231;Lombardia;Milan
1328831232;1328831487;Lombardia;Bergamo
1328831488;1328831743;Marche;San Benedetto del Tronto
1328831744;1328831999;Marche;Macerata
1328832000;1328832255;Calabria;Reggio Calabria
1328832256;1328832511;Sardegna;Arbus
1328832512;1328832767;Sicilia;Messina
1328832768;1328833023;Sicilia;Milazzo
1328833024;1328833279;Sicilia;Catania
1328833280;1328833535;Sicilia;Sant'Angelo di Brolo
1328833536;1328833791;Sicilia;Vittoria
1328833792;1328834047;Lazio;Rome
1328834048;1328834303;Sicilia;Catania
1328834304;1328834559;Sicilia;Ragusa
1328834560;1328834815;Sicilia;Catania
1328834816;1328835327;Sicilia;Noto
1328835328;1328835583;Sicilia;Catania
1328835584;1328835839;Sicilia;Messina
1328835840;1328836095;Sardegna;Cagliari
1328836096;1328836607;Sicilia;Catania
1328836608;1328836863;Calabria;Mangone
1328836864;1328837119;Calabria;Joppolo
1328837120;1328837375;Calabria;Reggio Calabria
1328837376;1328837631;Calabria;Pietrapaola
1328837632;1328837887;Calabria;Serra San Bruno
1328837888;1328838143;Calabria;Mangone
1328838144;1328838655;Lombardia;Milan
1328838656;1328839167;Lazio;Rome
1328839168;1328840959;Toscana;Florence
1328840960;1328841215;Toscana;Bibbiena
1328841216;1328841471;Lazio;Ripa
1328841472;1328841727;Toscana;Bibbiena
1328841728;1328841983;Toscana;Florence
1328841984;1328842239;Toscana;Siena
1328842240;1328842751;Toscana;Florence
1328842752;1328843519;Campania;Naples
1328843520;1328843775;Veneto;Isola Vicentina
1328843776;1328844031;Lombardia;Milan
1328844032;1328844287;Lombardia;Limbiate
1328844288;1328844543;Lombardia;Milan
1328844544;1328845823;Campania;Naples
1328845824;1328846079;Lombardia;Tirano
1328846080;1328846335;Lombardia;Brescia
1328846336;1328846847;Lombardia;Bergamo
1328846848;1328847103;Basilicata;Rionero in Vulture
1328847104;1328847359;Campania;Rocca d'Evandro
1328847360;1328847615;Campania;Battipaglia
1328847616;1328847871;Campania;Naples
1328847872;1328848127;Basilicata;Matera
1328848128;1328848383;Campania;Battipaglia
1328848384;1328848639;Toscana;Pisa
1328848640;1328848895;Campania;Salerno
1328848896;1328849407;Lombardia;Milan
1328849408;1328849663;Marche;Senigallia
1328849664;1328849919;Sicilia;Palermo
1328849920;1328850175;Lombardia;Milan
1328850176;1328850431;Toscana;Pisa
1328850432;1328850687;Sicilia;Palermo
1328850688;1328850943;Toscana;Pisa
1328850944;1328851199;Sicilia;Trapani
1328851200;1328851455;Toscana;Pisa
1328851456;1328851967;Sicilia;Palermo
1328851968;1328852223;Sicilia;Agrigento
1328852224;1328852479;Sicilia;Palermo
1328852480;1328852735;Toscana;Pisa
1328852736;1328852991;Sicilia;Palermo
1328852992;1328853247;Abruzzo;Roccamorice
1328853248;1328853503;Abruzzo;Roseto degli Abruzzi
1328853504;1328853759;Abruzzo;Lanciano
1328853760;1328854015;Sicilia;Noto
1328854016;1328854271;Toscana;Pisa
1328854272;1328854527;Abruzzo;Lanciano
1328854528;1328854783;Abruzzo;Rosciano
1328854784;1328855039;Abruzzo;Farindola
1328855040;1328856063;Umbria;Perugia
1328856064;1328856319;Umbria;Terni
1328856320;1328856575;Lombardia;Milan
1328856576;1328857087;Toscana;Florence
1328857088;1328857343;Lombardia;Milan
1328857344;1328858111;Lazio;Rome
1328858112;1328858367;Lazio;Priverno
1328858368;1328859135;Lazio;Rome
1328859136;1328860159;Toscana;Pisa
1328860160;1328860415;Emilia-Romagna;Modena
1328860416;1328860927;Lombardia;Milan
1328860928;1328861183;Toscana;Pisa
1328861184;1328861439;Lazio;Rome
1328861440;1328861695;Toscana;Bucine
1328861696;1328861951;Toscana;Florence
1328861952;1328862207;Toscana;Bucine
1328862208;1328862463;Toscana;Florence
1328862464;1328862719;Piemonte;Galliate
1328862720;1328862975;Lombardia;Milan
1328862976;1328863231;Piemonte;Galliate
1328863232;1328863487;Lombardia;Milan
1328863488;1328863743;Toscana;Pisa
1328863744;1328864255;Lazio;Rome
1328864256;1328864511;Lazio;Anzio
1328864512;1328864767;Lazio;Latina
1328864768;1328865023;Lazio;Rome
1328865024;1328865279;Lazio;Bassano in Teverina
1328865280;1328866047;Lazio;Rome
1328866048;1328866559;Lazio;Civitavecchia
1328866560;1328866815;Lazio;Rome
1328866816;1328867071;Lazio;Anzio
1328867072;1328868095;Lazio;Rome
1328868096;1328868351;Campania;Naples
1328868352;1328868607;Lombardia;Milan
1328868608;1328868863;Basilicata;Montemurro
1328868864;1328869375;Lazio;Rome
1328869376;1328869631;Lazio;Cassino
1328869632;1328869887;Lazio;Rome
1328869888;1328870143;Lazio;Ripa
1328870144;1328871423;Lazio;Rome
1328871424;1328871679;Puglia;Tricase
1328871680;1328871935;Toscana;Pisa
1328871936;1328872191;Puglia;Veglie
1328872192;1328872447;Puglia;Gesuiti
1328872448;1328872703;Puglia;San Giorgio Ionico
1328872704;1328872959;Puglia;Taranto
1328872960;1328873215;Puglia;Gesuiti
1328873216;1328873471;Puglia;Galatina
1328873472;1328873983;Campania;Naples
1328873984;1328874239;Puglia;San Ferdinando di Puglia
1328874240;1328874495;Emilia-Romagna;Piacenza
1328874496;1328874751;Umbria;Perugia
1328874752;1328875007;Sicilia;Catania
1328875008;1328875263;Calabria;Lamezia Terme
1328875264;1328875519;Calabria;Castrovillari
1328875520;1328875775;Calabria;Corigliano Calabro
1328875776;1328876031;Calabria;Castrovillari
1328876032;1328876287;Calabria;Corigliano Calabro
1328876288;1328876543;Calabria;Joppolo
1328876544;1328876799;Emilia-Romagna;Cesena
1328876800;1328877055;Lazio;Ripa
1328877056;1328877567;Lazio;Rome
1328877568;1328877823;Campania;Naples
1328877824;1328878079;Lazio;Rome
1328878080;1328878335;Lazio;Ronciglione
1328878336;1328878847;Lazio;Rome
1328878848;1328879103;Calabria;Reggio Calabria
1328879104;1328879359;Lazio;Rome
1328879360;1328879615;Toscana;Monticelli
1328879616;1328879871;Toscana;Florence
1328879872;1328880127;Toscana;Monticelli
1328880128;1328881151;Lazio;Rome
1328881152;1328881407;Umbria;Perugia
1328881408;1328882175;Toscana;Pisa
1328882176;1328882431;Sicilia;Catania
1328882432;1328882687;Sicilia;Noto
1328882688;1328882943;Calabria;Villa San Giovanni
1328882944;1328883199;Sicilia;Catania
1328883200;1328884479;Emilia-Romagna;Modena
1328884480;1328884735;Emilia-Romagna;Rottofreno
1328884736;1328885247;Toscana;Florence
1328885248;1328885503;Sicilia;Pozzallo
1328885504;1328885759;Lombardia;Brescia
1328885760;1328886015;Friuli-Venezia Giulia;Trieste
1328886016;1328886271;Sicilia;Messina
1328886272;1328886527;Toscana;Florence
1328886528;1328886783;Toscana;Portoferraio
1328886784;1328887039;Toscana;Florence
1328887040;1328887295;Emilia-Romagna;Piacenza
1328887296;1328887551;Toscana;Florence
1328887552;1328887807;Toscana;Pisa
1328887808;1328888063;Campania;Padula
1328888064;1328888575;Campania;Naples
1328888576;1328888831;Lombardia;Pregnana Milanese
1328888832;1328889087;Campania;Naples
1328889088;1328889343;Campania;Roccamonfina
1328889344;1328889599;Campania;Avellino
1328889600;1328889855;Lombardia;Milan
1328889856;1328890367;Marche;Ancona
1328890368;1328890623;Marche;Cagli
1328890624;1328890879;Marche;Montegiorgio
1328890880;1328891135;Calabria;Terranova da Sibari
1328891136;1328891391;Marche;Arcevia
1328891392;1328891647;Marche;Civitanova Marche
1328891648;1328891903;Marche;Ascoli Piceno
1328891904;1328892159;Lombardia;Milan
1328892160;1328892415;Toscana;Pisa
1328892416;1328892671;Puglia;Bari
1328892672;1328892927;Puglia;Torremaggiore
1328892928;1328893183;Puglia;Bari
1328893184;1328893439;Puglia;San Giovanni Rotondo
1328893440;1328893695;Toscana;Florence
1328893696;1328893951;Lombardia;Milan
1328893952;1328894207;Sardegna;Oristano
1328894208;1328894463;Emilia-Romagna;Modena
1328894464;1328894719;Lazio;Arpino
1328894720;1328894975;Lombardia;Milan
1328894976;1328895231;Campania;Naples
1328895232;1328895487;Campania;Camerota
1328895488;1328895743;Toscana;Pisa
1328895744;1328895999;Campania;Camerota
1328896000;1328896255;Campania;Mondragone
1328896256;1328896511;Campania;San Salvatore Telesino
1328896512;1328896767;Campania;Salerno
1328896768;1328897023;Veneto;Padova
1328897024;1328897279;Toscana;Florence
1328897280;1328897535;Lazio;Rome
1328897536;1328897791;Toscana;Monticelli
1328897792;1328898047;Toscana;Florence
1328898048;1328898559;Sicilia;Catania
1328898560;1328898815;Sicilia;Milazzo
1328898816;1328899327;Sicilia;Catania
1328899328;1328899583;Sardegna;Arbus
1328899584;1328899839;Sardegna;Guspini
1328899840;1328900095;Sardegna;Cagliari
1328900096;1328900351;Sicilia;Catania
1328900352;1328900607;Sicilia;Milena
1328900608;1328900863;Sicilia;Caltagirone
1328900864;1328901119;Calabria;Rende
1328901120;1328901375;Sicilia;Noto
1328901376;1328902143;Sicilia;Catania
1328902144;1328902399;Calabria;Catanzaro
1328902400;1328902655;Calabria;Lamezia Terme
1328902656;1328902911;Calabria;Rende
1328902912;1328903167;Calabria;Castrovillari
1328903168;1328903423;Calabria;Polistena
1328903424;1328903935;Calabria;Castrovillari
1328903936;1328904191;Lombardia;Milan
1328904192;1328904703;Toscana;Florence
1328904704;1328904959;Lazio;Rome
1328904960;1328905215;Toscana;Monticelli
1328905216;1328905471;Lombardia;Milan
1328905472;1328905727;Toscana;Pisa
1328905728;1328905983;Veneto;Padova
1328905984;1328906495;Toscana;Pisa
1328906496;1328906751;Toscana;Monticelli
1328906752;1328907007;Toscana;Florence
1328907008;1328907263;Emilia-Romagna;Bologna
1328907264;1328907519;Toscana;Pisa
1328907520;1328907775;Veneto;Feltre
1328907776;1328908031;Lazio;Rome
1328908032;1328908287;Toscana;Florence
1328908288;1328908543;Lombardia;Milan
1328908544;1328909567;Campania;Naples
1328909568;1328909823;Sicilia;Palermo
1328909824;1328910079;Campania;Naples
1328910080;1328910335;Lombardia;Milan
1328910336;1328910591;Campania;Naples
1328910592;1328910847;Lazio;Rome
1328910848;1328911103;Lazio;Colleferro
1328911104;1328911359;Lazio;Orte
1328911360;1328911615;Campania;Benevento
1328911616;1328911871;Lombardia;Milan
1328911872;1328912127;Lombardia;Brescia
1328912128;1328912895;Campania;Naples
1328912896;1328913151;Basilicata;Chiaromonte
1328913152;1328913407;Campania;Mondragone
1328913408;1328913663;Campania;Camerota
1328913664;1328913919;Campania;Montecalvo Irpino
1328913920;1328914175;Campania;Naples
1328914176;1328914431;Lazio;Rome
1328914432;1328915199;Sicilia;Palermo
1328915200;1328915455;Marche;Civitanova Marche
1328915456;1328915967;Lazio;Rome
1328915968;1328916223;Sicilia;Palermo
1328916224;1328916479;Lombardia;Milan
1328916480;1328916991;Sicilia;Trapani
1328916992;1328917247;Sicilia;Sciara
1328917248;1328917759;Lombardia;Milan
1328917760;1328918015;Sicilia;Agrigento
1328918016;1328918271;Lombardia;Milan
1328918272;1328918527;Sicilia;Palermo
1328918528;1328918783;Abruzzo;L'Aquila
1328918784;1328919039;Molise;Cerro al Volturno
1328919040;1328919295;Abruzzo;Rosciano
1328919296;1328919551;Abruzzo;L'Aquila
1328919552;1328919807;Abruzzo;Celano
1328919808;1328920319;Abruzzo;Pescara
1328920320;1328920575;Abruzzo;Rosciano
1328920576;1328920831;Umbria;Perugia
1328920832;1328921087;Umbria;Magione
1328921088;1328921343;Umbria;Perugia
1328921344;1328921599;Lazio;Anzio
1328921600;1328921855;Abruzzo;Pescara
1328921856;1328922111;Sicilia;Catania
1328922112;1328922367;Toscana;Pisa
1328922368;1328922623;Campania;Salerno
1328922624;1328922879;Emilia-Romagna;Bologna
1328922880;1328923135;Toscana;Florence
1328923136;1328924159;Lazio;Rome
1328924160;1328924927;Toscana;Pisa
1328924928;1328925183;Toscana;Castiglione della Pescaia
1328925184;1328925951;Toscana;Pisa
1328925952;1328926207;Marche;San Benedetto del Tronto
1328926208;1328926719;Toscana;Pisa
1328926720;1328926975;Marche;Montegiorgio
1328926976;1328927743;Lazio;Rome
1328927744;1328927999;Lazio;Ripa
1328928000;1328928511;Lazio;Rome
1328928512;1328928767;Toscana;Siena
1328928768;1328929023;Lombardia;Milan
1328929024;1328929279;Piemonte;Torino
1328929280;1328929535;Lazio;Rome
1328929536;1328929791;Puglia;Gesuiti
1328929792;1328930047;Lazio;Rome
1328930048;1328930303;Piemonte;Torino
1328930304;1328930559;Lazio;Ripa
1328930560;1328930815;Lazio;Latina
1328930816;1328931071;Lazio;Orte
1328931072;1328931327;Lazio;Ostia
1328931328;1328931583;Toscana;Bucine
1328931584;1328931839;Lazio;Rome
1328931840;1328932095;Lazio;Ostia
1328932096;1328932607;Lazio;Rome
1328932608;1328932863;Campania;Naples
1328932864;1328933119;Puglia;Francavilla Fontana
1328933120;1328933375;Lazio;Rome
1328933376;1328933631;Lazio;Ripa
1328933632;1328934399;Lazio;Rome
1328934400;1328934655;Lazio;Latina
1328934656;1328934911;Lazio;Ostia
1328934912;1328935167;Sicilia;Milazzo
1328935168;1328935423;Lazio;Viterbo
1328935424;1328935679;Lazio;Rome
1328935680;1328936191;Puglia;Gallipoli
1328936192;1328936447;Puglia;Manfredonia
1328936448;1328936703;Campania;Salerno
1328936704;1328936959;Toscana;Florence
1328936960;1328937215;Lombardia;Milan
1328937216;1328937471;Puglia;Taranto
1328937472;1328937727;Puglia;Nardo
1328937728;1328938239;Lazio;Rome
1328938240;1328938495;Lombardia;Milan
1328938496;1328938751;Puglia;Lecce
1328938752;1328939007;Puglia;Gesuiti
1328939008;1328939263;Marche;Jesi
1328939264;1328939519;Marche;Ancona
1328939520;1328939775;Marche;Macerata
1328939776;1328940287;Veneto;Padova
1328940288;1328940543;Trentino-Alto Adige;Ton
1328940544;1328941055;Veneto;Venice
1328941056;1328941823;Lombardia;Milan
1328941824;1328942079;Lombardia;Cagnola
1328942080;1328942591;Lombardia;Milan
